,Name,Position,Research,BS/BA,MS,PhD
0,Pieter Abbeel,Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)']",['NA'],"[' 2000, ms, electrical engineering, ku leuven, belgium\n                ']","[' \n                    2008, phd, computer science, stanford university']"
1,Krste AsanoviÄ,Professor ,"['Computer Architecture & Engineering (ARC)', 'Integrated Circuits (INC)', 'Operating Systems & Networking (OSNT)', 'Design, Modeling and Analysis (DMA)']","[' 1987, ba, electrical and information sciences, university of cambridge, uk\n                ']","[' 1987, ba, electrical and information sciences, university of cambridge, uk\n                ']","[' \n                    1998, phd, computer science, uc berkeley']"
2,Babak Ayazifar,Teaching Professor ,"['Education (EDUC)', 'Signal Processing (SP)']","[' 1989, bs, electrical engineering, caltech\n                \n                \n                                ']","[' \n                    2003, phd, electrical engineering and computer science, massachusetts institute of technology']","[' \n                    2003, phd, electrical engineering and computer science, massachusetts institute of technology']"
3,Jonathan Bachrach,Adjunct Assistant Professor ,"['Programming Systems (PS)', 'Computer Architecture & Engineering (ARC)', 'Design, Modeling and Analysis (DMA)']","[' 1985, bs, computer engineering and cognitive science, university of california, san diego\n                ']","[' \n                    1992, phd, computer science, university of massachusetts, amherst', ' 1989, ms, computer science, university of massachusetts, amherst']","[' \n                    1992, phd, computer science, university of massachusetts, amherst']"
4,Ruzena Bajcsy,Professor ,"['Artificial Intelligence (AI)', 'Biosystems & Computational Biology (BIO)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Security (SEC)']",['NA'],"[' 1957, ms, electrical engineering, slovak technical university, bratislava, slovak republic\n                ']","[' \n                    1972, phd, computer science, stanford university', ' 1968, phd, electrical engineering, slovak technical university, bratislava, slovak republic']"
5,Michael Ball,Lecturer ,"['Education (EDUC)', 'Human-Computer Interaction (HCI)']","[' 2015, ba, computer science, uc berkeley\n                ']","[' \n                    2016, ms, computer science, uc berkeley']",['NA']
6,David Bamman,Below The Line Assistant Professor ,[],"[' 1998, ba, classics, university of wisconsin-madison\n                \n                \n                                \n                ']","[' 2006, ma, applied linguistics, boston university', ' 1998, ba, classics, university of wisconsin-madison\n                \n                \n                                \n                ']","[' \n                    2015, phd, computer science (language technologies institute), carnegie mellon university']"
7,Brian A. Barsky,"Professor Emeritus , Professor in the Graduate School","['Graphics (GR)', 'Biosystems & Computational Biology (BIO)', 'Human-Computer Interaction (HCI)', 'Signal Processing (SP)']","[' 1976, bsc, mathematics/computer science, mcgill university']","[' 1978, ms, computer graphics/computer science, cornell university', ' 1976, bsc, mathematics/computer science, mcgill university']","[' \n                    1981, phd, computer science, university of utah, salt lake city']"
8,Peter Bartlett,Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)']",['NA'],"[' \n                    1992, phd, information technology and electrical engineering, university of queensland, australia\n                ']","[' \n                    1992, phd, information technology and electrical engineering, university of queensland, australia\n                ']"
9,Alexandre Bayen,Professor ,"['Control, Intelligent Systems, and Robotics (CIR)', 'Artificial Intelligence (AI)', 'Cyber-Physical Systems and Design Automation (CPSDA)']",['NA'],"[' 1999, ms, aeronautics and astronautics, stanford university', ' 1998, engineering, applied mathematics, ecole polytechnique, france\n                ']","[' \n                    2003, phd, aeronautics and astronautics, stanford university']"
