Jayadev Acharya,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Information theory, machine learning, and algorithmic statistics"
Rachit Agarwal,"; Computer Science, CS Field Member","Research Focus:
Distributed systems, systems for big data analytics, networking, design and analysis of algorithms"
David Albonesi,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Adaptive and reconfigurable multi-core and processor architectures, power- and reliability-aware computing, and high performance interconnect architectures using silicon nanophotonics"
Lorenzo Alvisi,"; Computer Science, CS Field Member, Tisch University Professor","Research Focus:
Theory and practice of dependable distributed computing"
Yoav Artzi,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Natural language processing, situated language understanding, automated natural language interaction, machine learning"
Shiri Azenkot,; Jacobs Technion-Cornell Institute; CS Field Member,"Research Focus:
Human-computer Interactions  and Accessibility"
Kavita Bala,"; Computer Science, Chair, CS Field Member","Research Focus:
Computer graphics—scalable graphics; perceptually-based, realistic rendering; image-based texturing and modeling"
Siddhartha  Banerjee,"; Operations Research and Operations Engineering, CS Field Member","Research Focus:
Stochastic Modeling, Design of Scalable Algorithms, Matching Markets and Social Computing, Control of Information-Flows, Learning and Recommendation"
Christopher Batten,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
High performance and energy-efficient parallel computer architecture and VSLI design"
Serge Belongie,"; Computer Science, Cornell Tech, CS Field Member; Associate Dean at Cornell Tech","Research Focus:
Computer Vision, Machine Learning, Crowdsourcing, Human-in-the-Loop Computing"
Austin Benson,"; Computer Science, CS Field Member","Research Focus:
Methods and algorithms for network science; tensor computations and numerical linear algebra; behavioral modeling in the information sciences."
David Bindel,"; Computer Science, CS Field Member","Research Focus:
Microelectromechanical systems (MEMS), numerical linear algebra, finite element analysis, floating point computation and network tomography"
Ken Birman,"; Computer Science, CS Field Member; N. Rama Rao Professor of Computer Science","Research Focus:
Reliability and security in modern networked environments"
Ronald Brachman,; Jacobs Technion-Cornell Institute,"Research Focus:
Artificial intelligence, information retrieval, database management"
Anne Bracy,; Computer Science,"Research Focus:
Computer Architecture, Instruction Fusion, Hardware Support for Thread Synchronization"
Mark Campbell,; Mechanical Engineering; CS Field Member,"Research Focus:
Robotics, Sensor fusion, Machine learning and Perception"
Claire Cardie,"; Computer Science, CS Field Member; Joseph C. Ford Professor of Engineering","Research Focus:
Natural language processing"
Eshan Chattopadhyay,"; Computer Science, CS Field Member","Research Focus:
Use of Randomness in Computation, Computational Complexity Theory and Cryptography"
Yudong Chen,"; Operations Research and Information Engineering, CS Field Member","Research Focus:
Machine Learning, high dimensional and robust statistics and convex optimazation"
Tanzeem Choudhury,"; Information Science, CS Field Member","Research Focus:
Machine learning techniques for systems that can reason about human activities, interactions, and social networks in everyday environments"
Michael Clarkson,"; Computer Science,","Research Focus:
Security, programming languages, electronic voting"
Robert Constable,"; Computer Science, CS Field Member","Research Focus:
Type theory and automated reasoning"
Dan Cosley,"; Information Science, CS Field Member","Research Focus:
Human-computer interaction, online communities, and recommender systems"
